ssid_fast_orthogroups,Ssid_longest_proteome
OG0007178,
OG0007179,"Ssid_214956_c0_seq2.p1, Ssid_223332_c0_seq1.p2"
OG0007180,Ssid_244320_c0_seq1.p1
OG0007181,Ssid_260640_c0_seq1.p1
OG0007182,"Ssid_231336_c0_seq2.p1, Ssid_253491_c0_seq2.p1"
OG0007183,Ssid_238157_c0_seq2.p1
OG0007184,Ssid_241365_c1_seq1.p1
OG0007185,Ssid_258696_c0_seq3.p1
OG0007186,Ssid_257428_c0_seq2.p1
OG0007187,Ssid_263070_c0_seq2.p1
OG0007188,Ssid_254012_c0_seq1.p1
OG0007189,Ssid_262262_c0_seq2.p1
OG0007190,Ssid_261761_c0_seq10.p1
OG0007191,"Ssid_255197_c1_seq3.p1, Ssid_260671_c0_seq7.p1"
OG0007192,Ssid_246185_c0_seq1.p1
OG0007193,Ssid_253778_c1_seq1.p1
OG0007194,Ssid_245509_c0_seq1.p1
OG0007195,Ssid_258522_c0_seq12.p1
OG0007196,"Ssid_263111_c1_seq1.p1, Ssid_263111_c3_seq1.p1"
OG0007197,
OG0007198,Ssid_253167_c0_seq1.p1
OG0007199,Ssid_241000_c0_seq2.p2
OG0007200,Ssid_258482_c0_seq4.p1
OG0007201,"Ssid_202461_c0_seq1.p1, Ssid_246777_c0_seq1.p1"
OG0007202,Ssid_255819_c0_seq2.p1
OG0007203,Ssid_251973_c0_seq2.p1
OG0007204,Ssid_260114_c0_seq1.p2
OG0007205,Ssid_253501_c0_seq3.p1
OG0007206,"Ssid_253037_c0_seq7.p1, Ssid_253037_c0_seq7.p2"
OG0007207,"Ssid_227308_c0_seq2.p1, Ssid_248385_c0_seq1.p1"
OG0007208,Ssid_231799_c0_seq3.p1
OG0007209,Ssid_253994_c0_seq1.p1
OG0007210,Ssid_251388_c1_seq1.p1
OG0007211,Ssid_256489_c0_seq1.p1
OG0007212,
OG0007213,"Ssid_227344_c0_seq1.p1, Ssid_258120_c0_seq1.p1"
OG0007214,Ssid_253646_c0_seq1.p1
OG0007215,"Ssid_240830_c0_seq3.p1, Ssid_243222_c0_seq1.p1"
OG0007216,Ssid_260974_c0_seq5.p1
OG0007217,Ssid_257875_c0_seq6.p1
OG0007218,Ssid_253203_c0_seq1.p2
OG0007219,"Ssid_258372_c1_seq3.p1, Ssid_258372_c1_seq3.p2"
OG0007220,
OG0007221,Ssid_254492_c2_seq2.p2
OG0007222,Ssid_254237_c0_seq1.p1
OG0007223,Ssid_262543_c0_seq6.p1
OG0007224,"Ssid_255136_c0_seq1.p1, Ssid_255136_c0_seq1.p2"
OG0007225,Ssid_258371_c0_seq2.p1
OG0007226,"Ssid_242650_c0_seq1.p1, Ssid_257339_c0_seq2.p1"
OG0007227,Ssid_261331_c0_seq1.p1
OG0007228,Ssid_241632_c0_seq9.p1
OG0007229,Ssid_258335_c0_seq1.p1
OG0007230,Ssid_262482_c0_seq4.p1
OG0007231,
OG0007232,Ssid_260489_c0_seq2.p1
OG0007233,Ssid_252240_c0_seq6.p1
OG0007234,Ssid_261818_c0_seq1.p1
OG0007235,Ssid_231632_c0_seq1.p1
OG0007236,Ssid_263016_c0_seq1.p1
OG0007237,Ssid_230308_c0_seq1.p1
OG0007238,Ssid_254845_c0_seq1.p1
OG0007239,"Ssid_140755_c0_seq1.p2, Ssid_260666_c0_seq1.p1"
OG0007240,
OG0007241,"Ssid_251067_c0_seq3.p1, Ssid_251067_c0_seq3.p2"
OG0007242,Ssid_255996_c0_seq4.p1
OG0007243,Ssid_263097_c0_seq1.p1
OG0007244,Ssid_258955_c0_seq2.p1
OG0007245,"Ssid_261493_c0_seq2.p1, Ssid_261493_c1_seq2.p1"
OG0007246,Ssid_253170_c0_seq2.p1
OG0007247,Ssid_388153_c0_seq1.p1
OG0007248,Ssid_252218_c0_seq4.p1
OG0007249,Ssid_248445_c0_seq2.p1
OG0007250,Ssid_263302_c0_seq2.p3
OG0007251,
OG0007252,Ssid_252237_c0_seq1.p1
OG0007253,Ssid_252261_c1_seq1.p1
OG0007254,Ssid_260156_c0_seq1.p1
OG0007255,"Ssid_259751_c0_seq2.p2, Ssid_259751_c0_seq2.p3"
OG0007256,"Ssid_259769_c0_seq8.p1, Ssid_259769_c0_seq8.p2"
OG0007257,"Ssid_243637_c0_seq1.p1, Ssid_251077_c0_seq2.p2"
OG0007258,"Ssid_259695_c0_seq1.p1, Ssid_259695_c0_seq1.p2"
OG0007259,Ssid_259169_c0_seq1.p1
OG0007260,Ssid_233619_c0_seq1.p1
OG0007261,Ssid_233469_c0_seq1.p1
OG0007262,Ssid_255754_c1_seq1.p1
OG0007263,Ssid_230267_c0_seq1.p1
OG0007264,"Ssid_234823_c0_seq2.p1, Ssid_31277_c0_seq1.p1"
OG0007265,Ssid_263395_c0_seq1.p1
OG0007266,Ssid_258959_c0_seq1.p1
OG0007267,Ssid_259850_c0_seq2.p1
OG0007268,Ssid_255256_c0_seq1.p1
OG0007269,Ssid_252634_c0_seq4.p1
OG0007270,"Ssid_260129_c0_seq3.p1, Ssid_260129_c0_seq3.p3"
OG0007271,Ssid_251201_c0_seq7.p1
OG0007272,Ssid_252304_c0_seq3.p1
OG0007273,Ssid_263316_c0_seq1.p1
OG0007274,Ssid_250953_c0_seq1.p1
OG0007275,Ssid_259830_c0_seq3.p1
OG0007276,Ssid_259459_c0_seq1.p2
OG0007277,Ssid_260357_c0_seq2.p1
OG0007278,Ssid_247815_c0_seq1.p1
OG0007279,
OG0007280,Ssid_245476_c0_seq1.p1
OG0007281,"Ssid_260386_c0_seq1.p1, Ssid_260386_c0_seq1.p2"
OG0007282,Ssid_259712_c0_seq1.p1
OG0007283,Ssid_251701_c1_seq1.p1
OG0007284,Ssid_260743_c0_seq1.p1
OG0007285,Ssid_247237_c0_seq1.p1
OG0007286,Ssid_260278_c0_seq2.p2
OG0007287,Ssid_262606_c0_seq1.p1
OG0007288,"Ssid_247947_c0_seq1.p1, Ssid_247947_c1_seq3.p1"
OG0007289,"Ssid_261953_c0_seq1.p1, Ssid_261953_c1_seq1.p1"
OG0007290,Ssid_248213_c0_seq2.p1
OG0007291,Ssid_257954_c0_seq1.p1
OG0007292,Ssid_260101_c0_seq1.p1
OG0007293,Ssid_263001_c1_seq4.p1
OG0007294,Ssid_252368_c0_seq1.p1
OG0007295,Ssid_261771_c3_seq1.p2
OG0007296,Ssid_253271_c0_seq5.p1
OG0007297,Ssid_221450_c0_seq2.p1
OG0007298,Ssid_260946_c0_seq1.p1
OG0007299,"Ssid_262366_c0_seq1.p1, Ssid_262366_c1_seq1.p2"
OG0007300,"Ssid_252808_c0_seq1.p1, Ssid_252808_c1_seq1.p1"
OG0007301,"Ssid_246303_c0_seq1.p1, Ssid_248721_c0_seq3.p1"
OG0007302,Ssid_253206_c0_seq2.p1
OG0007303,Ssid_229776_c0_seq2.p1
OG0007304,Ssid_252989_c0_seq2.p1
OG0007305,Ssid_238783_c0_seq1.p1
OG0007306,"Ssid_235140_c1_seq6.p1, Ssid_249158_c0_seq1.p1"
OG0007307,
OG0007308,"Ssid_256125_c0_seq2.p1, Ssid_256125_c0_seq2.p2"
OG0007309,"Ssid_260120_c1_seq1.p1, Ssid_260120_c1_seq1.p2"
OG0007310,"Ssid_249462_c0_seq3.p1, Ssid_257889_c0_seq1.p1"
OG0007311,Ssid_255261_c0_seq4.p2
OG0007312,Ssid_255261_c0_seq4.p1
OG0007313,Ssid_253360_c0_seq2.p1
OG0007314,Ssid_260564_c0_seq2.p2
OG0007315,"Ssid_246907_c0_seq1.p1, Ssid_249536_c0_seq1.p1"
OG0007316,Ssid_261659_c0_seq1.p1
OG0007317,"Ssid_228375_c0_seq1.p1, Ssid_243275_c0_seq1.p1"
OG0007318,Ssid_238827_c0_seq1.p1
OG0007319,Ssid_262041_c1_seq3.p1
OG0007320,Ssid_216669_c0_seq1.p1
OG0007321,Ssid_261377_c0_seq1.p1
OG0007322,Ssid_241561_c1_seq3.p1
OG0007323,Ssid_259983_c0_seq2.p1
OG0007324,Ssid_252864_c0_seq1.p2
OG0007325,Ssid_256818_c0_seq4.p1
OG0007326,"Ssid_259391_c1_seq2.p1, Ssid_26151_c0_seq1.p1"
OG0007327,Ssid_244346_c0_seq6.p1
OG0007328,Ssid_261015_c0_seq4.p1
OG0007329,Ssid_238141_c0_seq2.p1
OG0007330,Ssid_261917_c2_seq2.p1
OG0007331,Ssid_258264_c0_seq1.p1
OG0007332,Ssid_261136_c0_seq1.p1
OG0007333,
OG0007334,Ssid_254581_c2_seq2.p1
OG0007335,Ssid_258464_c0_seq3.p1
OG0007336,
OG0007337,"Ssid_224507_c0_seq1.p1, Ssid_256978_c0_seq2.p1"
OG0007338,Ssid_261394_c0_seq2.p1
OG0007339,Ssid_245781_c0_seq1.p1
OG0007340,Ssid_262674_c0_seq1.p1
OG0007341,Ssid_236789_c0_seq2.p1
OG0007342,"Ssid_237278_c0_seq7.p1, Ssid_237278_c0_seq7.p2"
OG0007343,Ssid_247918_c0_seq1.p1
OG0007344,Ssid_261085_c0_seq1.p1
OG0007345,Ssid_261681_c0_seq2.p1
OG0007346,Ssid_246999_c0_seq1.p1
OG0007347,Ssid_234201_c0_seq1.p1
OG0007348,Ssid_253376_c0_seq2.p1
OG0007349,Ssid_105702_c0_seq1.p1
OG0007350,Ssid_261234_c0_seq1.p1
OG0007351,"Ssid_256401_c1_seq6.p1, Ssid_256401_c1_seq6.p2"
OG0007352,
OG0007353,Ssid_260472_c0_seq1.p1
OG0007354,
OG0007355,Ssid_250370_c0_seq4.p1
OG0007356,Ssid_247028_c0_seq1.p1
OG0007357,
OG0007358,"Ssid_198458_c0_seq1.p1, Ssid_251446_c0_seq4.p1"
OG0007359,"Ssid_242320_c1_seq1.p1, Ssid_263688_c0_seq1.p2"
OG0007360,Ssid_262168_c1_seq3.p1
OG0007361,"Ssid_226194_c0_seq1.p1, Ssid_736_c0_seq2.p1"
OG0007362,
OG0007363,Ssid_243365_c0_seq1.p1
OG0007364,Ssid_245077_c0_seq3.p1
OG0007365,
OG0007366,Ssid_119743_c0_seq1.p1
OG0007367,
OG0007368,Ssid_261715_c0_seq2.p1
OG0007369,Ssid_64758_c0_seq1.p1
OG0007370,Ssid_132766_c0_seq1.p1
OG0007371,Ssid_359724_c0_seq1.p1
OG0007372,
OG0007373,"Ssid_112412_c0_seq1.p1, Ssid_207219_c0_seq1.p1, Ssid_242087_c0_seq4.p1, Ssid_280954_c0_seq1.p1, Ssid_94524_c0_seq1.p1"
OG0007374,
OG0007375,
OG0007376,Ssid_258501_c0_seq4.p1
OG0007377,Ssid_245858_c0_seq2.p1
OG0007378,Ssid_35140_c0_seq1.p1
OG0007379,Ssid_216673_c0_seq1.p1
OG0007380,Ssid_133458_c0_seq2.p1
OG0007381,Ssid_226457_c0_seq1.p1
OG0007382,Ssid_294211_c0_seq1.p1
OG0007383,Ssid_258607_c0_seq1.p1
OG0007384,"Ssid_198411_c0_seq1.p1, Ssid_212066_c0_seq2.p1, Ssid_212066_c0_seq2.p2"
OG0007385,Ssid_248759_c0_seq2.p1
OG0007386,Ssid_261766_c0_seq3.p1
OG0007387,Ssid_240234_c0_seq1.p1
OG0007388,"Ssid_201595_c0_seq2.p1, Ssid_254515_c0_seq3.p2"
OG0007389,Ssid_258176_c0_seq3.p1
OG0007390,
OG0007391,Ssid_261894_c0_seq2.p1
OG0007392,"Ssid_256355_c0_seq1.p1, Ssid_256355_c0_seq1.p2"
OG0007393,Ssid_237947_c0_seq3.p1
OG0007394,Ssid_262259_c0_seq7.p1
OG0007395,Ssid_224335_c0_seq5.p1
OG0007396,Ssid_250537_c0_seq1.p1
OG0007397,Ssid_242790_c0_seq4.p1
OG0007398,Ssid_117930_c0_seq1.p1
OG0007399,"Ssid_248921_c0_seq7.p1, Ssid_248921_c0_seq7.p2"
OG0007400,Ssid_212025_c0_seq1.p1
OG0007401,
OG0007402,
OG0007403,Ssid_243281_c0_seq3.p1
OG0007404,"Ssid_243432_c0_seq1.p1, Ssid_243432_c2_seq1.p1"
OG0007405,
OG0007406,Ssid_247042_c0_seq3.p1
OG0007407,
OG0007408,Ssid_331913_c0_seq1.p1
OG0007409,
OG0007410,
OG0007411,Ssid_239484_c0_seq1.p1
OG0007412,
OG0007413,Ssid_216204_c0_seq1.p1
OG0007414,
OG0007415,
OG0007416,"Ssid_250004_c0_seq1.p1, Ssid_262426_c0_seq2.p1"
OG0007417,
OG0007418,
OG0007419,"Ssid_261616_c0_seq1.p1, Ssid_261616_c0_seq1.p4"
OG0007420,"Ssid_261540_c0_seq11.p1, Ssid_261540_c0_seq11.p2"
OG0007421,
OG0007422,Ssid_242130_c0_seq2.p1
OG0007423,
OG0007424,
OG0007425,
OG0007426,
OG0007427,
OG0007428,
OG0007429,
OG0007430,Ssid_261936_c0_seq1.p1
OG0007431,
OG0007432,
OG0007433,
OG0007434,"Ssid_251505_c0_seq1.p1, Ssid_262936_c0_seq7.p1"
OG0007435,
OG0007436,Ssid_263417_c0_seq2.p1
OG0007437,Ssid_263109_c1_seq1.p1
OG0007438,"Ssid_243177_c0_seq1.p1, Ssid_251847_c0_seq1.p1"
OG0007439,
OG0007440,Ssid_263373_c1_seq2.p1
OG0007441,
OG0007442,Ssid_257243_c0_seq3.p2
OG0007443,"Ssid_223191_c0_seq1.p1, Ssid_392505_c0_seq1.p1"
OG0007444,Ssid_260686_c0_seq14.p1
OG0007445,
OG0007446,Ssid_76178_c0_seq1.p1
OG0007447,
OG0007448,"Ssid_236298_c0_seq8.p1, Ssid_236298_c0_seq8.p2"
OG0007449,Ssid_246494_c0_seq3.p1
OG0007450,Ssid_252121_c0_seq4.p1
OG0007451,
OG0007452,"Ssid_227144_c0_seq1.p1, Ssid_80907_c0_seq1.p1"
OG0007453,
OG0007454,Ssid_262091_c0_seq1.p1
OG0007455,
OG0007456,
OG0007457,
OG0007458,"Ssid_253569_c0_seq1.p1, Ssid_257682_c0_seq2.p2"
OG0007459,
OG0007460,
OG0007461,Ssid_257700_c0_seq1.p1
OG0007462,"Ssid_166406_c0_seq1.p1, Ssid_428184_c0_seq1.p1"
OG0007463,
OG0007464,Ssid_263510_c0_seq2.p1
OG0007465,Ssid_260464_c0_seq3.p1
OG0007466,
OG0007467,Ssid_250016_c0_seq1.p1
OG0007468,Ssid_242767_c1_seq3.p1
OG0007469,
OG0007470,Ssid_238878_c0_seq1.p2
OG0007471,"Ssid_229246_c0_seq1.p1, Ssid_262029_c0_seq1.p2, Ssid_263246_c2_seq1.p1"
OG0007472,Ssid_256139_c0_seq1.p2
OG0007473,Ssid_248546_c0_seq2.p1
OG0007474,Ssid_208831_c0_seq1.p1
OG0007475,
OG0007476,Ssid_248109_c1_seq1.p1
OG0007477,
OG0007478,Ssid_237789_c0_seq1.p1
OG0007479,"Ssid_243253_c0_seq1.p1, Ssid_245662_c0_seq3.p1"
OG0007480,Ssid_246576_c0_seq1.p1
OG0007481,Ssid_261118_c0_seq5.p3
OG0007482,
OG0007483,Ssid_245320_c0_seq2.p1
OG0007484,"Ssid_180487_c0_seq1.p1, Ssid_234819_c0_seq1.p1"
OG0007485,Ssid_249091_c0_seq1.p1
OG0007486,"Ssid_205143_c0_seq1.p1, Ssid_224489_c0_seq1.p1"
OG0007487,Ssid_261388_c1_seq24.p1
OG0007488,
OG0007489,Ssid_252307_c0_seq1.p1
OG0007490,
OG0007491,
OG0007492,
OG0007493,
OG0007494,Ssid_258605_c0_seq2.p1
OG0007495,"Ssid_229344_c0_seq1.p1, Ssid_262818_c0_seq1.p3"
OG0007496,
OG0007497,
OG0007498,Ssid_219087_c0_seq2.p1
OG0007499,
OG0007500,"Ssid_252751_c1_seq1.p1, Ssid_252751_c1_seq1.p2"
OG0007501,"Ssid_243815_c0_seq1.p1, Ssid_255247_c0_seq1.p1, Ssid_413575_c0_seq1.p1"
OG0007502,
OG0007503,
OG0007504,Ssid_263667_c0_seq6.p2
OG0007505,"Ssid_238870_c0_seq5.p1, Ssid_250116_c0_seq12.p1"
OG0007506,Ssid_254140_c0_seq2.p1
OG0007507,"Ssid_246153_c0_seq1.p1, Ssid_263816_c0_seq4.p2"
OG0007508,
OG0007509,"Ssid_143371_c0_seq1.p1, Ssid_253857_c0_seq14.p1, Ssid_254462_c2_seq1.p2"
OG0007510,"Ssid_259636_c0_seq1.p2, Ssid_260801_c0_seq1.p1"
OG0007511,"Ssid_260787_c0_seq8.p3, Ssid_263659_c1_seq2.p1"
OG0007512,
OG0007513,
OG0007514,Ssid_254287_c0_seq2.p1
OG0007515,Ssid_253402_c0_seq7.p1
OG0007516,"Ssid_181712_c0_seq2.p1, Ssid_249643_c0_seq1.p1"
OG0007517,Ssid_212048_c0_seq1.p1
OG0007518,
OG0007519,"Ssid_258699_c0_seq1.p1, Ssid_258699_c0_seq1.p3"
OG0007520,Ssid_263313_c0_seq1.p1
OG0007521,Ssid_254257_c0_seq2.p1
OG0007522,
OG0007523,Ssid_231949_c0_seq1.p1
OG0007524,
OG0007525,"Ssid_248077_c0_seq1.p1, Ssid_260390_c0_seq1.p1"
OG0007526,
OG0007527,
OG0007528,Ssid_31557_c0_seq1.p1
OG0007529,"Ssid_193566_c0_seq12.p1, Ssid_256196_c0_seq1.p1"
OG0007530,Ssid_263636_c0_seq4.p1
OG0007531,Ssid_251784_c0_seq1.p1
OG0007532,Ssid_254420_c0_seq2.p1
OG0007533,
OG0007534,
OG0007535,
OG0007536,"Ssid_250278_c0_seq2.p1, Ssid_260662_c0_seq1.p1"
OG0007537,"Ssid_238853_c0_seq3.p1, Ssid_238853_c0_seq3.p2, Ssid_316173_c0_seq1.p1"
OG0007538,Ssid_262886_c0_seq1.p1
OG0007539,"Ssid_245299_c0_seq3.p3, Ssid_339568_c0_seq1.p1"
OG0007540,"Ssid_228912_c0_seq1.p1, Ssid_263602_c0_seq1.p1"
OG0007541,"Ssid_231708_c0_seq4.p4, Ssid_243900_c0_seq1.p1, Ssid_245063_c0_seq2.p2, Ssid_257993_c0_seq28.p2"
OG0007542,Ssid_241376_c0_seq2.p1
OG0007543,"Ssid_241696_c0_seq2.p1, Ssid_253147_c0_seq1.p1, Ssid_260093_c0_seq8.p1"
OG0007544,Ssid_132158_c0_seq1.p1
OG0007545,"Ssid_200531_c0_seq1.p1, Ssid_241092_c0_seq4.p1, Ssid_262616_c1_seq1.p1"
OG0007546,"Ssid_251424_c0_seq3.p2, Ssid_251424_c0_seq3.p3"
OG0007547,
OG0007548,Ssid_251044_c0_seq1.p1
OG0007549,Ssid_167844_c0_seq2.p1
OG0007550,Ssid_175273_c0_seq1.p1
OG0007551,Ssid_246231_c0_seq1.p1
OG0007552,
OG0007553,
OG0007554,Ssid_252952_c0_seq1.p1
OG0007555,
OG0007556,
OG0007557,"Ssid_165366_c0_seq1.p1, Ssid_248704_c0_seq1.p2"
OG0007558,
OG0007559,"Ssid_244075_c0_seq2.p1, Ssid_251989_c0_seq1.p1"
OG0007560,Ssid_259949_c0_seq8.p1
OG0007561,"Ssid_186860_c0_seq1.p1, Ssid_236022_c0_seq2.p1"
OG0007562,"Ssid_109125_c0_seq2.p2, Ssid_152760_c0_seq1.p1"
OG0007563,
OG0007564,"Ssid_259359_c0_seq1.p1, Ssid_259359_c1_seq1.p1"
OG0007565,
OG0007566,Ssid_258963_c0_seq2.p1
OG0007567,"Ssid_258509_c0_seq3.p1, Ssid_258509_c0_seq3.p3"
OG0007568,"Ssid_221931_c0_seq1.p1, Ssid_244324_c0_seq1.p1, Ssid_247695_c0_seq2.p1"
OG0007569,"Ssid_202494_c0_seq1.p1, Ssid_256498_c0_seq1.p1"
OG0007570,Ssid_239178_c0_seq1.p1
OG0007571,Ssid_255631_c0_seq2.p1
OG0007572,Ssid_259619_c0_seq10.p1
OG0007573,"Ssid_256633_c0_seq2.p1, Ssid_256633_c0_seq2.p2"
OG0007574,Ssid_262733_c0_seq1.p1
OG0007575,"Ssid_213288_c0_seq2.p1, Ssid_260457_c0_seq2.p3"
OG0007576,Ssid_258146_c0_seq2.p1
OG0007577,"Ssid_258209_c0_seq5.p1, Ssid_258209_c1_seq1.p1"
OG0007578,"Ssid_220600_c0_seq2.p1, Ssid_257497_c3_seq6.p1"
OG0007579,
OG0007580,"Ssid_209196_c0_seq1.p1, Ssid_262449_c1_seq2.p1"
OG0007581,"Ssid_235135_c0_seq1.p1, Ssid_240215_c0_seq1.p1, Ssid_256668_c0_seq1.p1"
OG0007582,"Ssid_262504_c0_seq11.p1, Ssid_262504_c0_seq11.p2"
OG0007583,"Ssid_257574_c0_seq1.p2, Ssid_261454_c0_seq4.p1, Ssid_261454_c0_seq4.p2"
OG0007584,Ssid_255231_c0_seq1.p1
OG0007585,
OG0007586,Ssid_200210_c0_seq1.p1
OG0007587,Ssid_243924_c1_seq27.p1
OG0007588,
OG0007589,"Ssid_243954_c0_seq1.p2, Ssid_260626_c1_seq24.p1"
OG0007590,
OG0007591,Ssid_246542_c0_seq1.p1
OG0007592,Ssid_248920_c0_seq3.p1
OG0007593,Ssid_228450_c0_seq1.p1
OG0007594,
OG0007595,"Ssid_210825_c0_seq1.p1, Ssid_262516_c0_seq3.p1"
OG0007596,"Ssid_235384_c0_seq2.p2, Ssid_263710_c0_seq2.p1"
OG0007597,Ssid_230374_c0_seq1.p1
OG0007598,"Ssid_249427_c0_seq1.p1, Ssid_249801_c0_seq1.p1"
OG0007599,Ssid_247310_c0_seq4.p1
OG0007600,
OG0007601,Ssid_222568_c0_seq8.p1
OG0007602,Ssid_260574_c0_seq2.p1
OG0007603,Ssid_232838_c0_seq2.p1
OG0007604,Ssid_256899_c0_seq2.p1
OG0007605,Ssid_260930_c0_seq1.p1
OG0007606,
OG0007607,
OG0007608,Ssid_210792_c0_seq1.p1
OG0007609,
OG0007610,Ssid_238702_c1_seq12.p1
OG0007611,"Ssid_185669_c0_seq2.p1, Ssid_185669_c0_seq2.p2, Ssid_243419_c0_seq2.p1"
OG0007612,"Ssid_256041_c0_seq4.p5, Ssid_257564_c0_seq1.p1"
OG0007613,
OG0007614,Ssid_254378_c1_seq1.p1
OG0007615,Ssid_249894_c0_seq3.p1
OG0007616,Ssid_246944_c0_seq1.p1
OG0007617,
OG0007618,"Ssid_254746_c2_seq7.p2, Ssid_259713_c0_seq1.p1"
OG0007619,Ssid_221275_c0_seq3.p1
OG0007620,Ssid_260389_c0_seq2.p1
OG0007621,"Ssid_240627_c0_seq1.p1, Ssid_243024_c0_seq2.p1"
OG0007622,Ssid_250914_c0_seq1.p1
OG0007623,
OG0007624,"Ssid_257829_c0_seq1.p1, Ssid_261708_c0_seq1.p1"
OG0007625,Ssid_239197_c0_seq4.p1
OG0007626,Ssid_196910_c0_seq4.p1
OG0007627,
OG0007628,Ssid_250867_c0_seq1.p1
OG0007629,"Ssid_226804_c0_seq1.p1, Ssid_263324_c0_seq1.p1"
OG0007630,Ssid_261511_c0_seq1.p1
OG0007631,"Ssid_244418_c0_seq1.p1, Ssid_249197_c0_seq1.p1"
OG0007632,
OG0007633,Ssid_241352_c0_seq1.p1
OG0007634,
OG0007635,Ssid_263464_c1_seq25.p2
OG0007636,Ssid_255870_c0_seq1.p1
OG0007637,"Ssid_242476_c0_seq1.p1, Ssid_242476_c0_seq1.p2"
OG0007638,
OG0007639,"Ssid_197862_c0_seq2.p1, Ssid_242765_c0_seq1.p1"
OG0007640,"Ssid_245845_c0_seq2.p1, Ssid_258001_c0_seq2.p1"
OG0007641,Ssid_228876_c0_seq2.p1
OG0007642,Ssid_201139_c0_seq2.p1
OG0007643,"Ssid_229917_c0_seq1.p1, Ssid_246974_c0_seq1.p1, Ssid_33827_c0_seq1.p1"
OG0007644,Ssid_247211_c1_seq1.p1
OG0007645,Ssid_252472_c0_seq3.p1
OG0007646,Ssid_261759_c0_seq1.p1
OG0007647,"Ssid_237423_c0_seq1.p1, Ssid_260355_c0_seq1.p1"
OG0007648,
OG0007649,"Ssid_236993_c0_seq1.p1, Ssid_441486_c0_seq1.p1"
OG0007650,"Ssid_239259_c0_seq4.p3, Ssid_260261_c0_seq15.p1"
OG0007651,Ssid_260690_c0_seq4.p1
OG0007652,"Ssid_224912_c0_seq1.p1, Ssid_250250_c0_seq1.p1"
OG0007653,Ssid_253235_c0_seq2.p1
OG0007654,"Ssid_251256_c0_seq1.p1, Ssid_261390_c1_seq1.p2"
OG0007655,"Ssid_202555_c0_seq1.p1, Ssid_255275_c0_seq11.p1"
OG0007656,Ssid_260592_c0_seq2.p1
OG0007657,
OG0007658,Ssid_255986_c0_seq18.p1
OG0007659,"Ssid_253121_c0_seq3.p1, Ssid_253121_c0_seq3.p2"
OG0007660,Ssid_247752_c0_seq2.p1
OG0007661,"Ssid_254028_c0_seq1.p1, Ssid_254028_c0_seq1.p2"
OG0007662,Ssid_236102_c0_seq1.p1
OG0007663,Ssid_231942_c0_seq3.p1
OG0007664,Ssid_248087_c0_seq4.p1
OG0007665,"Ssid_217702_c0_seq1.p1, Ssid_247978_c0_seq2.p1"
OG0007666,Ssid_262564_c0_seq1.p2
OG0007667,
OG0007668,Ssid_261632_c0_seq2.p1
OG0007669,Ssid_242062_c0_seq1.p1
OG0007670,Ssid_243163_c0_seq3.p1
OG0007671,Ssid_243129_c0_seq8.p1
OG0007672,"Ssid_257765_c0_seq1.p1, Ssid_263366_c0_seq3.p1"
OG0007673,"Ssid_164796_c0_seq1.p1, Ssid_236450_c0_seq2.p1"
OG0007674,
OG0007675,"Ssid_235925_c0_seq1.p1, Ssid_258370_c1_seq2.p1, Ssid_358115_c0_seq1.p1"
OG0007676,"Ssid_249786_c0_seq3.p1, Ssid_249786_c0_seq3.p2"
OG0007677,"Ssid_254192_c0_seq1.p1, Ssid_254192_c0_seq1.p2"
OG0007678,Ssid_261479_c0_seq4.p1
OG0007679,Ssid_258819_c1_seq9.p2
OG0007680,Ssid_260339_c0_seq1.p1
OG0007681,
OG0007682,"Ssid_224191_c0_seq2.p1, Ssid_258519_c0_seq2.p2"
OG0007683,Ssid_238161_c0_seq1.p1
OG0007684,Ssid_262038_c0_seq2.p1
OG0007685,"Ssid_238789_c0_seq1.p1, Ssid_238883_c0_seq1.p1"
OG0007686,"Ssid_257187_c0_seq10.p1, Ssid_257187_c0_seq10.p2"
OG0007687,"Ssid_167972_c0_seq1.p1, Ssid_240382_c0_seq1.p1"
OG0007688,Ssid_259548_c0_seq2.p1
OG0007689,
OG0007690,"Ssid_260064_c0_seq1.p2, Ssid_260424_c0_seq1.p2"
OG0007691,"Ssid_204509_c0_seq1.p1, Ssid_230749_c0_seq1.p1"
OG0007692,
OG0007693,"Ssid_258505_c0_seq2.p1, Ssid_258985_c0_seq1.p1"
OG0007694,Ssid_248299_c0_seq1.p1
OG0007695,"Ssid_249971_c0_seq3.p1, Ssid_284772_c0_seq1.p1, Ssid_302241_c0_seq1.p1"
OG0007696,Ssid_211886_c0_seq1.p1
OG0007697,Ssid_259814_c0_seq13.p2
OG0007698,Ssid_255533_c0_seq2.p1
OG0007699,
OG0007700,"Ssid_242483_c0_seq4.p1, Ssid_251031_c0_seq1.p1"
OG0007701,Ssid_255437_c0_seq6.p1
OG0007702,Ssid_76383_c0_seq1.p1
OG0007703,
OG0007704,"Ssid_218274_c0_seq1.p1, Ssid_242264_c0_seq1.p1, Ssid_255842_c0_seq3.p1"
OG0007705,
OG0007706,
OG0007707,
OG0007708,Ssid_246128_c0_seq1.p1
OG0007709,Ssid_246589_c0_seq1.p1
OG0007710,"Ssid_219270_c0_seq1.p1, Ssid_28433_c0_seq1.p1"
OG0007711,"Ssid_244808_c0_seq1.p1, Ssid_248430_c0_seq2.p1"
OG0007712,
OG0007713,Ssid_236126_c0_seq1.p1
OG0007714,
OG0007715,Ssid_142709_c0_seq1.p1
