Orthogroup,Mcav_No_isos
OG0004606,Mcav_23885_c4_g1_i1.p1
OG0004607,Mcav_8252_c7_g1_i1.p1
OG0004608,Mcav_32440_c2_g1_i1.p1
OG0004609,"Mcav_58746_c6_g1_i1.p1, Mcav_58746_c8_g1_i2.p1"
OG0004610,Mcav_42704_c2_g1_i1.p1
OG0004611,Mcav_45294_c0_g1_i1.p1
OG0004612,Mcav_34779_c0_g1_i1.p1
OG0004613,
OG0004614,Mcav_24292_c10_g1_i1.p1
OG0004615,Mcav_5493_c3_g1_i1.p1
OG0004616,"Mcav_50832_c1_g1_i3.p1, Mcav_50832_c1_g1_i6.p1"
OG0004617,Mcav_12777_c5_g1_i1.p1
OG0004618,Mcav_959_c6_g1_i1.p1
OG0004619,"Mcav_59634_c2_g1_i1.p1, Mcav_59634_c2_g2_i1.p1"
OG0004620,Mcav_48805_c0_g3_i1.p1
OG0004621,"Mcav_32752_c1_g1_i2.p1, Mcav_32755_c0_g1_i1.p1, Mcav_32756_c2_g1_i1.p1"
OG0004622,"Mcav_23021_c78_g1_i1.p1, Mcav_39556_c0_g1_i2.p1, Mcav_9542_c1_g1_i1.p1, Mcav_9688_c0_g1_i1.p1"
OG0004623,Mcav_60645_c0_g1_i7.p1
OG0004624,"Mcav_1274_c3_g1_i3.p1, Mcav_61714_c1_g1_i2.p2"
OG0004625,"Mcav_12564_c2_g1_i1.p1, Mcav_42132_c0_g1_i1.p1"
OG0004626,Mcav_20785_c18_g1_i6.p1
OG0004627,"Mcav_10171_c1_g1_i1.p1, Mcav_11598_c2_g1_i1.p1, Mcav_26975_c2_g1_i1.p1, Mcav_42817_c13_g1_i1.p1, Mcav_59599_c9_g1_i1.p1"
OG0004628,"Mcav_61490_c3_g1_i1.p1, Mcav_61490_c3_g1_i3.p1"
OG0004629,
OG0004630,Mcav_54169_c93_g1_i1.p1
OG0004631,Mcav_17431_c0_g1_i1.p1
OG0004632,Mcav_38655_c6_g1_i1.p1
OG0004633,Mcav_34655_c4_g1_i4.p1
OG0004634,Mcav_52338_c3_g2_i2.p1
OG0004635,"Mcav_58362_c6_g1_i1.p1, Mcav_58362_c7_g1_i2.p1"
OG0004636,Mcav_11206_c6_g1_i2.p1
OG0004637,"Mcav_5817_c56_g1_i1.p1, Mcav_5817_c57_g1_i1.p1"
OG0004638,Mcav_59436_c0_g1_i1.p1
OG0004639,Mcav_25297_c2_g1_i1.p1
OG0004640,Mcav_36395_c4_g1_i3.p1
OG0004641,"Mcav_30435_c3_g1_i2.p1, Mcav_46528_c10_g1_i2.p1"
OG0004642,Mcav_4140_c4_g1_i1.p1
OG0004643,"Mcav_16224_c2_g1_i1.p1, Mcav_16224_c3_g1_i4.p1"
OG0004644,"Mcav_32028_c1_g1_i1.p1, Mcav_54859_c3_g1_i1.p1"
OG0004645,Mcav_21829_c0_g1_i1.p1
OG0004646,Mcav_57187_c10_g1_i3.p1
OG0004647,"Mcav_35938_c11_g1_i2.p1, Mcav_35948_c3_g2_i1.p1"
OG0004648,Mcav_58880_c0_g1_i3.p1
OG0004649,"Mcav_52493_c5_g1_i1.p1, Mcav_52493_c6_g1_i1.p1"
OG0004650,"Mcav_43983_c0_g1_i1.p1, Mcav_43983_c1_g1_i1.p1"
OG0004651,Mcav_17045_c37_g1_i3.p1
OG0004652,Mcav_23457_c0_g1_i1.p1
OG0004653,"Mcav_42005_c0_g1_i1.p1, Mcav_42022_c2_g1_i1.p1"
OG0004654,Mcav_17414_c1_g1_i1.p1
OG0004655,Mcav_1744_c0_g1_i1.p1
OG0004656,"Mcav_18328_c0_g1_i1.p1, Mcav_43283_c0_g1_i1.p1, Mcav_45935_c0_g1_i1.p1, Mcav_54397_c6_g1_i1.p1"
OG0004657,"Mcav_36745_c16_g1_i2.p1, Mcav_36745_c16_g1_i3.p1, Mcav_36745_c16_g1_i5.p1"
OG0004658,Mcav_34631_c7_g1_i1.p2
OG0004659,Mcav_29202_c1_g1_i1.p1
OG0004660,"Mcav_38119_c2_g1_i2.p1, Mcav_38119_c2_g1_i2.p2"
OG0004661,"Mcav_2615_c1_g1_i3.p1, Mcav_2615_c1_g1_i4.p1"
OG0004662,Mcav_35257_c0_g1_i1.p1
OG0004663,Mcav_39782_c23_g1_i3.p1
OG0004664,Mcav_26672_c0_g1_i1.p1
OG0004665,"Mcav_31665_c4_g1_i1.p1, Mcav_31665_c5_g1_i1.p1"
OG0004666,Mcav_23789_c4_g1_i1.p1
OG0004667,Mcav_42666_c6_g1_i1.p1
OG0004668,
OG0004669,"Mcav_1208_c2_g1_i2.p1, Mcav_42899_c3_g1_i2.p1"
OG0004670,Mcav_32812_c0_g1_i1.p1
OG0004671,"Mcav_47543_c2_g1_i1.p2, Mcav_47562_c2_g1_i1.p2"
OG0004672,"Mcav_22347_c0_g1_i1.p1, Mcav_54790_c15_g1_i2.p5, Mcav_54790_c15_g1_i3.p2"
OG0004673,Mcav_42687_c0_g1_i1.p1
OG0004674,Mcav_38423_c0_g1_i1.p1
OG0004675,Mcav_11286_c1_g1_i1.p1
OG0004676,Mcav_6254_c3_g1_i1.p1
OG0004677,
OG0004678,Mcav_50944_c0_g1_i1.p2
OG0004679,
OG0004680,"Mcav_19727_c4_g1_i1.p1, Mcav_19727_c5_g1_i1.p1"
OG0004681,Mcav_17965_c7_g1_i1.p1
OG0004682,Mcav_53434_c2_g1_i2.p1
OG0004683,Mcav_25564_c2_g1_i1.p1
OG0004684,Mcav_45000_c3_g1_i1.p1
OG0004685,Mcav_29524_c28_g1_i2.p1
OG0004686,Mcav_49600_c5_g1_i1.p1
OG0004687,
OG0004688,Mcav_23211_c6_g1_i1.p1
OG0004689,"Mcav_52215_c5_g1_i1.p1, Mcav_52215_c7_g1_i1.p1"
OG0004690,Mcav_42072_c17_g1_i1.p1
OG0004691,
OG0004692,Mcav_6643_c2_g1_i2.p1
OG0004693,Mcav_27799_c107_g1_i1.p1
OG0004694,"Mcav_45750_c0_g1_i1.p1, Mcav_45751_c4_g1_i1.p1, Mcav_45751_c4_g1_i2.p1"
OG0004695,"Mcav_4306_c18_g1_i2.p1, Mcav_4306_c18_g2_i2.p1, Mcav_50664_c2_g1_i2.p1"
OG0004696,Mcav_45330_c7_g1_i1.p1
OG0004697,Mcav_58131_c1_g1_i1.p1
OG0004698,Mcav_4526_c35_g1_i2.p1
OG0004699,Mcav_26732_c6_g1_i1.p1
OG0004700,"Mcav_6905_c0_g1_i1.p1, Mcav_6905_c1_g1_i1.p1"
OG0004701,Mcav_21780_c8_g2_i1.p1
OG0004702,"Mcav_1036_c4_g2_i2.p1, Mcav_6683_c0_g1_i1.p1"
OG0004703,"Mcav_9349_c6_g1_i1.p1, Mcav_9349_c6_g1_i11.p1"
OG0004704,"Mcav_11365_c0_g1_i1.p1, Mcav_36548_c22_g1_i6.p4"
OG0004705,"Mcav_4611_c0_g2_i1.p1, Mcav_50019_c20_g2_i3.p1"
OG0004706,Mcav_5677_c16_g2_i4.p1
OG0004707,
OG0004708,Mcav_45376_c50_g1_i1.p1
OG0004709,Mcav_12617_c1_g1_i1.p1
OG0004710,"Mcav_31668_c9_g1_i3.p1, Mcav_31668_c9_g1_i4.p1"
OG0004711,
OG0004712,Mcav_26795_c161_g1_i2.p1
OG0004713,Mcav_22155_c2_g1_i2.p1
OG0004714,Mcav_17701_c15_g1_i1.p1
OG0004715,"Mcav_55090_c5_g1_i1.p4, Mcav_55090_c5_g1_i3.p1"
OG0004716,Mcav_44238_c5_g1_i2.p1
OG0004717,Mcav_19640_c18_g1_i2.p1
OG0004718,
OG0004719,Mcav_42128_c16_g1_i1.p1
OG0004720,"Mcav_51568_c1_g1_i1.p1, Mcav_51598_c4_g1_i2.p1"
OG0004721,Mcav_49986_c1_g1_i1.p1
OG0004722,Mcav_56591_c9_g1_i1.p1
OG0004723,"Mcav_20837_c0_g1_i1.p1, Mcav_44938_c1_g1_i1.p1"
OG0004724,
OG0004725,"Mcav_10546_c3_g1_i1.p1, Mcav_41841_c20_g1_i2.p1, Mcav_41841_c25_g1_i1.p1, Mcav_47797_c19_g1_i1.p1"
OG0004726,Mcav_39820_c0_g1_i1.p2
OG0004727,Mcav_18946_c0_g1_i1.p1
OG0004728,Mcav_59712_c0_g1_i1.p1
OG0004729,Mcav_13192_c0_g1_i1.p1
OG0004730,"Mcav_13417_c2_g1_i1.p1, Mcav_19014_c7_g1_i1.p1"
OG0004731,
OG0004732,Mcav_13420_c5_g1_i1.p1
OG0004733,"Mcav_59441_c4_g1_i1.p1, Mcav_59441_c4_g1_i3.p2"
OG0004734,Mcav_9801_c9_g1_i1.p1
OG0004735,Mcav_29422_c4_g1_i4.p1
OG0004736,"Mcav_28997_c0_g1_i1.p1, Mcav_28999_c0_g1_i2.p3"
OG0004737,Mcav_45062_c0_g1_i1.p1
OG0004738,Mcav_49601_c100_g1_i1.p1
OG0004739,"Mcav_36270_c3_g1_i1.p1, Mcav_36271_c15_g1_i1.p1"
OG0004740,"Mcav_19418_c5_g1_i1.p1, Mcav_19418_c5_g1_i4.p1"
OG0004741,Mcav_29186_c1_g1_i5.p1
OG0004742,"Mcav_19736_c0_g1_i1.p1, Mcav_28179_c0_g1_i1.p1"
OG0004743,Mcav_19205_c3_g1_i1.p1
OG0004744,"Mcav_16530_c8_g1_i3.p1, Mcav_16530_c8_g1_i4.p1"
OG0004745,Mcav_30044_c3_g1_i1.p1
OG0004746,Mcav_58110_c8_g1_i1.p1
OG0004747,"Mcav_40479_c46_g1_i2.p1, Mcav_40479_c46_g1_i2.p2, Mcav_4306_c18_g3_i2.p1"
OG0004748,Mcav_52194_c10_g1_i1.p3
OG0004749,"Mcav_31898_c1_g1_i2.p1, Mcav_31898_c2_g1_i1.p1"
OG0004750,"Mcav_29791_c8_g1_i3.p1, Mcav_29791_c8_g1_i4.p1"
OG0004751,Mcav_45712_c10_g1_i1.p1
OG0004752,"Mcav_30497_c0_g1_i1.p1, Mcav_61099_c1_g1_i1.p1"
OG0004753,"Mcav_11742_c8_g2_i1.p1, Mcav_11743_c3_g1_i1.p1"
OG0004754,"Mcav_13373_c1_g1_i2.p1, Mcav_13382_c6_g1_i1.p1"
OG0004755,"Mcav_13407_c11_g1_i1.p1, Mcav_23553_c10_g1_i1.p1, Mcav_27655_c74_g1_i1.p1, Mcav_42283_c2_g1_i1.p1"
OG0004756,Mcav_8154_c3_g1_i1.p1
OG0004757,Mcav_7908_c3_g1_i1.p1
OG0004758,"Mcav_60607_c5_g1_i1.p1, Mcav_60607_c6_g1_i1.p1"
OG0004759,"Mcav_3042_c118_g2_i1.p1, Mcav_3042_c96_g1_i1.p1"
OG0004760,"Mcav_14934_c0_g1_i1.p1, Mcav_20860_c2_g1_i1.p1"
OG0004761,"Mcav_45430_c8_g1_i1.p1, Mcav_45430_c8_g1_i2.p1, Mcav_49235_c6_g1_i1.p2"
OG0004762,
OG0004763,Mcav_16177_c18_g1_i4.p1
OG0004764,"Mcav_39297_c10_g1_i2.p1, Mcav_39297_c10_g1_i5.p1, Mcav_39297_c7_g1_i1.p1"
OG0004765,
OG0004766,Mcav_45245_c6_g1_i1.p1
OG0004767,Mcav_38375_c2_g1_i1.p1
OG0004768,"Mcav_33483_c4_g1_i4.p1, Mcav_33483_c4_g1_i5.p1, Mcav_33483_c4_g2_i1.p1"
OG0004769,"Mcav_13949_c0_g1_i1.p1, Mcav_23021_c90_g2_i1.p1, Mcav_23786_c1_g1_i2.p1, Mcav_547_c45_g1_i1.p1, Mcav_57309_c0_g1_i1.p1, Mcav_57309_c1_g1_i1.p1"
OG0004770,Mcav_18953_c7_g1_i1.p1
OG0004771,Mcav_19356_c11_g2_i1.p1
OG0004772,"Mcav_16917_c0_g1_i1.p1, Mcav_49601_c104_g2_i1.p1, Mcav_49601_c104_g2_i4.p1"
OG0004773,Mcav_42435_c0_g1_i1.p1
OG0004774,
OG0004775,Mcav_33677_c21_g1_i1.p1
OG0004776,Mcav_30282_c14_g1_i3.p1
OG0004777,Mcav_11715_c55_g3_i1.p1
OG0004778,Mcav_44541_c2_g1_i1.p1
OG0004779,"Mcav_44410_c1_g1_i1.p1, Mcav_8862_c19_g1_i1.p1"
OG0004780,Mcav_54609_c0_g1_i1.p1
OG0004781,Mcav_52931_c2_g1_i5.p1
OG0004782,Mcav_36828_c5_g1_i1.p1
OG0004783,"Mcav_26665_c3_g1_i1.p1, Mcav_26675_c0_g1_i1.p1"
OG0004784,"Mcav_53548_c7_g1_i1.p1, Mcav_53548_c7_g2_i1.p1"
OG0004785,"Mcav_32808_c5_g1_i1.p1, Mcav_5921_c4_g1_i1.p1"
OG0004786,Mcav_32722_c4_g2_i1.p1
OG0004787,"Mcav_51156_c1_g1_i1.p1, Mcav_738_c1_g1_i1.p1"
OG0004788,Mcav_28944_c4_g1_i3.p1
OG0004789,
OG0004790,Mcav_23252_c0_g1_i1.p1
OG0004791,Mcav_38119_c2_g2_i1.p1
OG0004792,"Mcav_23297_c5_g1_i1.p1, Mcav_23297_c6_g1_i1.p1"
OG0004793,Mcav_38817_c153_g1_i1.p1
OG0004794,"Mcav_25032_c1_g1_i1.p1, Mcav_25032_c2_g1_i1.p1"
OG0004795,Mcav_29244_c6_g1_i1.p1
OG0004796,Mcav_26096_c2_g1_i2.p1
OG0004797,Mcav_55191_c5_g1_i3.p1
OG0004798,Mcav_29160_c2_g1_i1.p1
OG0004799,"Mcav_32539_c80_g1_i1.p2, Mcav_32539_c80_g1_i2.p3, Mcav_32539_c80_g1_i3.p1"
OG0004800,"Mcav_55106_c1_g1_i1.p1, Mcav_55106_c1_g1_i2.p2"
OG0004801,"Mcav_11715_c39_g1_i1.p1, Mcav_11715_c39_g1_i2.p1"
OG0004802,Mcav_58145_c3_g1_i1.p1
OG0004803,Mcav_60379_c6_g1_i1.p1
OG0004804,Mcav_1799_c5_g2_i1.p1
OG0004805,Mcav_32502_c2_g1_i3.p1
OG0004806,"Mcav_45023_c0_g1_i1.p1, Mcav_45023_c0_g1_i4.p1"
OG0004807,"Mcav_24648_c3_g1_i1.p1, Mcav_30505_c0_g1_i1.p1, Mcav_57672_c1_g1_i1.p1, Mcav_8064_c3_g1_i2.p1"
OG0004808,"Mcav_16001_c7_g1_i2.p1, Mcav_16018_c4_g1_i1.p2"
OG0004809,
OG0004810,Mcav_23040_c3_g1_i1.p2
OG0004811,Mcav_6986_c2_g1_i1.p1
OG0004812,Mcav_25814_c2_g1_i1.p1
OG0004813,"Mcav_8143_c2_g1_i1.p1, Mcav_8171_c0_g1_i1.p1"
OG0004814,Mcav_37879_c13_g1_i1.p1
OG0004815,"Mcav_58451_c2_g1_i1.p1, Mcav_58456_c1_g1_i1.p1"
OG0004816,"Mcav_22986_c2_g1_i3.p1, Mcav_22986_c2_g1_i5.p1"
OG0004817,"Mcav_26433_c2_g1_i1.p1, Mcav_26445_c0_g1_i1.p1"
OG0004818,Mcav_42963_c6_g2_i1.p1
OG0004819,Mcav_51222_c2_g1_i1.p1
OG0004820,Mcav_52091_c8_g1_i1.p1
OG0004821,"Mcav_39441_c0_g1_i1.p1, Mcav_57167_c6_g1_i1.p1"
OG0004822,
OG0004823,"Mcav_10213_c4_g1_i3.p1, Mcav_10213_c4_g1_i4.p1"
OG0004824,"Mcav_28144_c2_g1_i2.p1, Mcav_31150_c0_g1_i1.p1"
OG0004825,"Mcav_9135_c0_g1_i1.p1, Mcav_9143_c1_g1_i3.p1"
OG0004826,Mcav_44136_c0_g1_i2.p1
OG0004827,"Mcav_20051_c12_g1_i1.p2, Mcav_20785_c23_g1_i1.p1, Mcav_29053_c6_g1_i1.p1, Mcav_30312_c0_g1_i1.p1, Mcav_36301_c0_g1_i1.p1, Mcav_42658_c7_g1_i1.p1"
OG0004828,Mcav_59323_c4_g1_i1.p1
OG0004829,"Mcav_52477_c1_g1_i1.p1, Mcav_52494_c45_g1_i3.p1"
OG0004830,
OG0004831,"Mcav_13796_c0_g1_i1.p1, Mcav_13796_c1_g1_i1.p1"
OG0004832,"Mcav_3055_c10_g1_i1.p2, Mcav_3055_c10_g1_i2.p1, Mcav_3055_c10_g1_i3.p2"
OG0004833,"Mcav_14168_c9_g1_i2.p1, Mcav_14168_c9_g1_i3.p1"
OG0004834,"Mcav_10205_c6_g1_i1.p1, Mcav_13965_c0_g1_i1.p1, Mcav_41233_c13_g1_i2.p1, Mcav_45822_c3_g1_i1.p1"
OG0004835,Mcav_13007_c5_g1_i7.p1
OG0004836,
OG0004837,Mcav_39478_c73_g1_i1.p1
OG0004838,"Mcav_62154_c35_g1_i1.p1, Mcav_62154_c46_g1_i1.p1, Mcav_62154_c62_g1_i1.p1, Mcav_62154_c66_g1_i1.p1"
OG0004839,Mcav_20848_c2_g1_i1.p1
OG0004840,Mcav_29367_c11_g1_i1.p1
OG0004841,"Mcav_28732_c12_g1_i3.p1, Mcav_28732_c13_g1_i1.p1"
OG0004842,Mcav_58400_c69_g1_i1.p1
OG0004843,Mcav_45648_c7_g1_i1.p1
OG0004844,
OG0004845,"Mcav_60617_c8_g1_i1.p1, Mcav_60617_c8_g1_i6.p1"
OG0004846,"Mcav_61013_c1_g1_i1.p1, Mcav_61027_c1_g1_i1.p1"
OG0004847,Mcav_12712_c51_g1_i1.p1
OG0004848,"Mcav_29144_c4_g1_i1.p2, Mcav_29144_c4_g1_i2.p1"
OG0004849,Mcav_28025_c52_g1_i1.p1
OG0004850,"Mcav_33608_c0_g1_i2.p1, Mcav_33608_c0_g1_i3.p1"
OG0004851,Mcav_50032_c8_g1_i1.p1
OG0004852,"Mcav_9343_c0_g1_i1.p1, Mcav_9344_c3_g1_i1.p1"
OG0004853,"Mcav_12278_c1_g1_i1.p1, Mcav_5414_c6_g1_i1.p1"
OG0004854,"Mcav_22557_c10_g1_i1.p1, Mcav_22557_c8_g1_i1.p1"
OG0004855,"Mcav_5437_c4_g1_i2.p1, Mcav_5451_c1_g1_i1.p1"
OG0004856,"Mcav_51253_c0_g1_i1.p1, Mcav_5788_c12_g1_i2.p1"
OG0004857,"Mcav_11323_c6_g1_i1.p2, Mcav_11323_c6_g1_i2.p2"
OG0004858,Mcav_35625_c12_g1_i1.p1
OG0004859,"Mcav_42011_c30_g1_i1.p1, Mcav_61837_c4_g1_i1.p1"
OG0004860,Mcav_33232_c2_g1_i1.p1
OG0004861,"Mcav_34618_c3_g1_i1.p1, Mcav_34625_c1_g1_i1.p1"
OG0004862,Mcav_43304_c3_g1_i1.p1
OG0004863,Mcav_60418_c1_g1_i1.p1
OG0004864,Mcav_16531_c11_g2_i2.p1
OG0004865,Mcav_55836_c0_g1_i3.p1
OG0004866,Mcav_32833_c4_g1_i2.p1
OG0004867,Mcav_11910_c6_g1_i1.p1
OG0004868,Mcav_51496_c9_g2_i3.p1
OG0004869,"Mcav_38138_c3_g1_i3.p1, Mcav_38138_c4_g2_i1.p1"
OG0004870,Mcav_26374_c6_g1_i3.p1
OG0004871,Mcav_36017_c2_g1_i1.p1
OG0004872,"Mcav_23635_c13_g1_i2.p1, Mcav_23635_c13_g1_i3.p1, Mcav_23635_c13_g2_i3.p1"
OG0004873,Mcav_30551_c3_g2_i1.p1
OG0004874,Mcav_35862_c34_g4_i1.p3
OG0004875,Mcav_6667_c3_g1_i3.p1
OG0004876,Mcav_27841_c1_g1_i2.p1
OG0004877,Mcav_20048_c11_g1_i1.p2
OG0004878,Mcav_38632_c0_g1_i3.p1
OG0004879,Mcav_38879_c9_g1_i1.p1
OG0004880,"Mcav_25582_c1_g1_i4.p1, Mcav_25582_c1_g2_i1.p2"
OG0004881,Mcav_14011_c7_g1_i1.p1
OG0004882,Mcav_19607_c0_g1_i2.p1
OG0004883,"Mcav_13549_c11_g1_i1.p1, Mcav_21354_c2_g1_i1.p1, Mcav_27047_c8_g1_i1.p1, Mcav_31566_c0_g1_i1.p1, Mcav_44205_c29_g1_i1.p1"
OG0004884,"Mcav_59640_c4_g1_i1.p1, Mcav_59640_c5_g1_i1.p1"
OG0004885,Mcav_8088_c1_g2_i1.p1
OG0004886,"Mcav_23829_c2_g1_i1.p2, Mcav_23829_c2_g1_i2.p1, Mcav_23831_c2_g1_i1.p1"
OG0004887,"Mcav_53541_c22_g1_i1.p1, Mcav_53541_c22_g1_i3.p1"
OG0004888,"Mcav_29374_c0_g1_i1.p1, Mcav_3496_c2_g1_i1.p1"
OG0004889,Mcav_43220_c152_g1_i1.p1
OG0004890,"Mcav_22225_c21_g1_i1.p1, Mcav_22225_c21_g1_i4.p2"
OG0004891,Mcav_18113_c2_g1_i1.p1
OG0004892,Mcav_43187_c1_g1_i1.p1
OG0004893,"Mcav_5770_c4_g1_i1.p1, Mcav_9876_c1_g1_i3.p1"
OG0004894,Mcav_55312_c14_g1_i2.p2
OG0004895,Mcav_28031_c0_g1_i1.p1
OG0004896,
OG0004897,
OG0004898,"Mcav_36609_c2_g1_i2.p1, Mcav_36609_c2_g1_i5.p2"
OG0004899,"Mcav_55088_c3_g1_i1.p3, Mcav_55088_c3_g1_i2.p1"
OG0004900,"Mcav_29709_c3_g1_i1.p1, Mcav_29709_c6_g1_i2.p1, Mcav_4526_c36_g1_i1.p1, Mcav_4526_c36_g1_i4.p1"
OG0004901,
OG0004902,Mcav_18080_c4_g1_i1.p1
OG0004903,Mcav_13890_c6_g2_i1.p1
OG0004904,Mcav_17128_c0_g1_i1.p1
OG0004905,"Mcav_5645_c1_g1_i5.p1, Mcav_5650_c3_g1_i2.p1"
OG0004906,Mcav_32791_c0_g1_i1.p1
OG0004907,"Mcav_26468_c0_g1_i3.p1, Mcav_31341_c0_g1_i1.p1, Mcav_50233_c19_g1_i1.p1, Mcav_50233_c27_g1_i1.p1"
OG0004908,"Mcav_45971_c0_g1_i1.p1, Mcav_45983_c0_g1_i1.p1"
OG0004909,"Mcav_35123_c2_g1_i2.p1, Mcav_35123_c3_g1_i5.p1"
OG0004910,"Mcav_33986_c8_g1_i1.p1, Mcav_33986_c8_g1_i3.p1"
OG0004911,"Mcav_12785_c4_g1_i1.p1, Mcav_12785_c5_g1_i1.p1"
OG0004912,Mcav_46170_c3_g1_i1.p1
OG0004913,Mcav_59524_c1_g1_i1.p1
OG0004914,"Mcav_28511_c2_g1_i1.p1, Mcav_28511_c2_g1_i2.p3"
OG0004915,Mcav_19812_c9_g1_i1.p2
OG0004916,Mcav_26913_c18_g1_i1.p1
OG0004917,"Mcav_14656_c10_g1_i1.p1, Mcav_14656_c14_g1_i2.p1"
OG0004918,"Mcav_19348_c1_g1_i1.p1, Mcav_60156_c13_g1_i1.p1, Mcav_60156_c9_g1_i1.p1"
OG0004919,"Mcav_5988_c6_g1_i3.p1, Mcav_5988_c6_g1_i4.p1"
OG0004920,Mcav_17831_c3_g1_i1.p1
OG0004921,"Mcav_56617_c2_g1_i1.p1, Mcav_56617_c3_g1_i1.p1"
OG0004922,"Mcav_28069_c5_g1_i1.p1, Mcav_28077_c1_g1_i1.p1"
OG0004923,Mcav_17076_c5_g1_i1.p1
OG0004924,Mcav_37902_c4_g1_i5.p1
OG0004925,"Mcav_54577_c17_g1_i1.p1, Mcav_54577_c19_g1_i1.p1"
OG0004926,Mcav_6504_c4_g1_i1.p1
OG0004927,"Mcav_18074_c18_g1_i1.p1, Mcav_18074_c40_g1_i2.p1"
OG0004928,Mcav_25935_c110_g1_i1.p1
OG0004929,Mcav_54770_c6_g1_i1.p1
OG0004930,"Mcav_36377_c4_g1_i1.p1, Mcav_36377_c4_g2_i1.p1"
OG0004931,"Mcav_52010_c7_g1_i3.p1, Mcav_52010_c7_g2_i2.p1"
OG0004932,Mcav_32811_c6_g1_i1.p1
OG0004933,"Mcav_55335_c5_g1_i1.p1, Mcav_55360_c2_g3_i1.p3"
OG0004934,Mcav_42063_c2_g1_i1.p1
OG0004935,
OG0004936,Mcav_15058_c26_g1_i3.p1
OG0004937,"Mcav_12413_c10_g1_i1.p2, Mcav_12413_c10_g1_i2.p1"
OG0004938,"Mcav_3291_c0_g1_i1.p1, Mcav_3291_c2_g1_i1.p1"
OG0004939,"Mcav_6885_c3_g1_i1.p1, Mcav_6885_c3_g1_i5.p1, Mcav_6885_c4_g1_i1.p1"
OG0004940,Mcav_48292_c8_g2_i2.p1
OG0004941,Mcav_10627_c4_g1_i3.p1
OG0004942,"Mcav_13048_c3_g1_i2.p1, Mcav_51823_c1_g1_i2.p1"
OG0004943,Mcav_30990_c3_g1_i1.p1
OG0004944,"Mcav_35252_c2_g1_i2.p1, Mcav_59255_c17_g1_i1.p2"
OG0004945,Mcav_23498_c13_g1_i2.p1
OG0004946,"Mcav_36848_c163_g1_i1.p1, Mcav_39073_c91_g1_i1.p1"
OG0004947,"Mcav_1068_c0_g1_i1.p2, Mcav_27810_c0_g1_i1.p1, Mcav_35347_c3_g1_i1.p1, Mcav_47250_c1_g1_i1.p1, Mcav_57325_c20_g1_i1.p1"
OG0004948,"Mcav_46720_c2_g1_i1.p2, Mcav_46730_c0_g1_i1.p1"
OG0004949,Mcav_45054_c18_g1_i1.p1
OG0004950,Mcav_53737_c4_g2_i2.p2
OG0004951,Mcav_32873_c10_g1_i1.p1
OG0004952,"Mcav_13348_c6_g1_i1.p1, Mcav_13348_c6_g1_i3.p1"
OG0004953,Mcav_18688_c78_g1_i1.p1
OG0004954,"Mcav_28105_c0_g1_i1.p1, Mcav_4644_c0_g1_i1.p1, Mcav_57427_c0_g1_i1.p1"
OG0004955,"Mcav_21944_c5_g1_i1.p1, Mcav_4943_c9_g1_i1.p1, Mcav_51538_c16_g1_i1.p2, Mcav_57640_c3_g1_i1.p1, Mcav_61532_c61_g1_i1.p1"
OG0004956,"Mcav_36892_c0_g1_i1.p1, Mcav_48291_c1_g1_i1.p1"
OG0004957,Mcav_51167_c7_g1_i2.p1
OG0004958,"Mcav_52310_c12_g1_i1.p1, Mcav_52310_c3_g1_i1.p1"
OG0004959,"Mcav_28662_c3_g1_i2.p1, Mcav_28662_c6_g1_i2.p1"
OG0004960,Mcav_14091_c16_g1_i1.p1
OG0004961,Mcav_29241_c53_g1_i1.p1
OG0004962,Mcav_14921_c5_g2_i2.p1
OG0004963,"Mcav_56726_c178_g1_i1.p1, Mcav_56726_c178_g2_i1.p1"
OG0004964,"Mcav_32679_c5_g1_i2.p1, Mcav_32688_c0_g1_i1.p1"
OG0004965,Mcav_30632_c2_g1_i2.p1
OG0004966,"Mcav_21035_c0_g1_i2.p1, Mcav_60619_c5_g1_i3.p3, Mcav_60619_c5_g1_i4.p1"
OG0004967,"Mcav_24297_c6_g1_i3.p1, Mcav_29086_c3_g1_i1.p1, Mcav_42427_c18_g1_i3.p4"
OG0004968,Mcav_60358_c10_g1_i1.p1
OG0004969,"Mcav_27358_c1_g1_i1.p1, Mcav_27360_c7_g1_i2.p1"
OG0004970,Mcav_50486_c18_g1_i1.p1
OG0004971,Mcav_49694_c0_g1_i1.p1
OG0004972,Mcav_5678_c11_g1_i1.p1
OG0004973,
OG0004974,"Mcav_17949_c0_g1_i1.p1, Mcav_8977_c3_g1_i1.p1"
OG0004975,Mcav_56755_c7_g1_i1.p2
OG0004976,Mcav_60659_c27_g1_i1.p1
OG0004977,Mcav_40430_c4_g1_i1.p2
OG0004978,"Mcav_45285_c0_g1_i1.p1, Mcav_45291_c4_g1_i3.p2"
OG0004979,Mcav_45174_c0_g1_i1.p1
OG0004980,"Mcav_22557_c9_g1_i1.p2, Mcav_29953_c11_g1_i1.p2, Mcav_47543_c0_g1_i1.p1, Mcav_51670_c10_g1_i1.p1, Mcav_913_c0_g2_i1.p1, Mcav_9929_c0_g1_i1.p5"
OG0004981,"Mcav_12961_c2_g1_i2.p1, Mcav_12986_c1_g1_i1.p1"
