OG,Ssid_longest_proteome
OG0016899,Ssid_DN256012_c0_seq2.p1
OG0016900,Ssid_DN263586_c0_seq1.p1
OG0016901,"Ssid_DN252865_c0_seq2.p1, Ssid_DN261206_c0_seq4.p1"
OG0016902,"Ssid_DN261863_c0_seq5.p1, Ssid_DN261863_c0_seq5.p2"
OG0016903,Ssid_DN241223_c0_seq1.p1
OG0016904,
OG0016905,Ssid_DN254659_c0_seq1.p3
OG0016906,Ssid_DN263374_c0_seq2.p3
OG0016907,
OG0016908,
OG0016909,Ssid_DN238871_c0_seq1.p1
OG0016910,Ssid_DN257627_c2_seq6.p1
OG0016911,Ssid_DN242811_c1_seq1.p1
OG0016912,"Ssid_DN204047_c0_seq1.p1, Ssid_DN235556_c0_seq1.p1"
OG0016913,Ssid_DN94328_c0_seq1.p1
OG0016914,Ssid_DN263426_c0_seq2.p1
OG0016915,Ssid_DN261504_c0_seq1.p2
OG0016916,"Ssid_DN223826_c0_seq1.p1, Ssid_DN263192_c0_seq1.p3"
OG0016917,Ssid_DN256848_c0_seq1.p1
OG0016918,Ssid_DN260661_c1_seq1.p1
OG0016919,
OG0016920,Ssid_DN243841_c0_seq1.p1
OG0016921,Ssid_DN183429_c0_seq1.p1
OG0016922,Ssid_DN306792_c0_seq1.p1
OG0016923,
OG0016924,Ssid_DN262623_c0_seq3.p1
OG0016925,
OG0016926,Ssid_DN246797_c0_seq2.p1
OG0016927,Ssid_DN253724_c0_seq2.p1
OG0016928,Ssid_DN259343_c1_seq5.p1
OG0016929,Ssid_DN262746_c0_seq2.p1
OG0016930,Ssid_DN263166_c0_seq1.p1
OG0016931,Ssid_DN209944_c0_seq1.p1
OG0016932,Ssid_DN256195_c0_seq3.p1
OG0016933,Ssid_DN240131_c0_seq1.p1
OG0016934,Ssid_DN238957_c0_seq1.p1
OG0016935,
OG0016936,Ssid_DN250425_c0_seq1.p1
OG0016937,
OG0016938,"Ssid_DN249370_c0_seq1.p1, Ssid_DN249370_c0_seq1.p2"
OG0016939,
OG0016940,Ssid_DN104240_c0_seq1.p1
OG0016941,"Ssid_DN261420_c0_seq10.p1, Ssid_DN261473_c0_seq5.p1"
OG0016942,Ssid_DN261783_c0_seq1.p2
OG0016943,Ssid_DN252857_c1_seq2.p1
OG0016944,
OG0016945,"Ssid_DN243820_c0_seq3.p1, Ssid_DN243820_c0_seq3.p2"
OG0016946,
OG0016947,Ssid_DN331240_c0_seq1.p1
OG0016948,
OG0016949,Ssid_DN247594_c0_seq1.p1
OG0016950,
OG0016951,Ssid_DN250893_c1_seq9.p1
OG0016952,"Ssid_DN257539_c2_seq1.p1, Ssid_DN257539_c2_seq1.p2"
OG0016953,
OG0016954,Ssid_DN254008_c0_seq3.p1
OG0016955,Ssid_DN259008_c0_seq6.p2
OG0016956,Ssid_DN255818_c0_seq1.p2
OG0016957,
OG0016958,Ssid_DN263141_c0_seq20.p2
OG0016959,
OG0016960,
OG0016961,
OG0016962,
OG0016963,Ssid_DN245661_c0_seq3.p1
OG0016964,
OG0016965,
OG0016966,Ssid_DN259783_c0_seq1.p1
OG0016967,Ssid_DN260168_c0_seq1.p1
OG0016968,
OG0016969,Ssid_DN257208_c0_seq1.p2
OG0016970,Ssid_DN249328_c0_seq1.p1
OG0016971,
OG0016972,Ssid_DN251331_c0_seq2.p2
OG0016973,
OG0016974,Ssid_DN251257_c0_seq2.p1
OG0016975,
OG0016976,Ssid_DN245544_c0_seq1.p1
OG0016977,Ssid_DN218672_c0_seq1.p1
OG0016978,Ssid_DN262337_c0_seq16.p1
OG0016979,Ssid_DN221743_c0_seq1.p1
OG0016980,Ssid_DN247533_c0_seq1.p1
OG0016981,Ssid_DN259515_c0_seq7.p2
OG0016982,Ssid_DN256152_c0_seq3.p1
OG0016983,"Ssid_DN240863_c0_seq2.p1, Ssid_DN240863_c0_seq2.p2"
OG0016984,Ssid_DN251716_c0_seq5.p1
OG0016985,Ssid_DN245384_c0_seq1.p1
OG0016986,Ssid_DN223825_c0_seq2.p1
OG0016987,
OG0016988,
OG0016989,Ssid_DN247713_c0_seq7.p2
OG0016990,
OG0016991,Ssid_DN254109_c1_seq1.p1
OG0016992,Ssid_DN203926_c0_seq1.p1
OG0016993,Ssid_DN244997_c0_seq2.p1
OG0016994,Ssid_DN241043_c0_seq2.p1
OG0016995,Ssid_DN249110_c0_seq2.p1
OG0016996,Ssid_DN47566_c0_seq1.p1
OG0016997,
OG0016998,Ssid_DN255083_c1_seq1.p1
OG0016999,
OG0017000,Ssid_DN229624_c0_seq1.p1
OG0017001,Ssid_DN247929_c0_seq1.p1
OG0017002,Ssid_DN258424_c0_seq29.p1
OG0017003,Ssid_DN201698_c0_seq1.p1
OG0017004,Ssid_DN247559_c0_seq2.p1
OG0017005,Ssid_DN261380_c0_seq1.p1
OG0017006,Ssid_DN134037_c0_seq1.p1
OG0017007,Ssid_DN262557_c0_seq1.p1
OG0017008,Ssid_DN255529_c0_seq2.p1
OG0017009,Ssid_DN258137_c0_seq1.p1
OG0017010,
OG0017011,Ssid_DN260484_c0_seq3.p2
OG0017012,Ssid_DN251628_c0_seq4.p1
OG0017013,Ssid_DN212908_c0_seq1.p1
OG0017014,Ssid_DN260936_c0_seq2.p1
OG0017015,Ssid_DN260024_c0_seq1.p1
OG0017016,
OG0017017,Ssid_DN259175_c0_seq2.p1
OG0017018,Ssid_DN252488_c0_seq1.p1
OG0017019,Ssid_DN190957_c0_seq1.p1
OG0017020,Ssid_DN258841_c0_seq1.p1
OG0017021,Ssid_DN248989_c0_seq1.p1
OG0017022,Ssid_DN263148_c1_seq1.p1
OG0017023,
OG0017024,Ssid_DN246533_c0_seq1.p1
OG0017025,
OG0017026,Ssid_DN258972_c0_seq1.p1
OG0017027,Ssid_DN263545_c0_seq2.p1
OG0017028,
OG0017029,Ssid_DN226671_c0_seq3.p1
OG0017030,Ssid_DN227434_c0_seq1.p2
OG0017031,Ssid_DN241356_c0_seq1.p2
OG0017032,Ssid_DN252911_c1_seq8.p1
OG0017033,Ssid_DN254264_c0_seq1.p1
OG0017034,Ssid_DN258327_c0_seq7.p1
OG0017035,
OG0017036,Ssid_DN246371_c0_seq1.p1
OG0017037,
OG0017038,
OG0017039,Ssid_DN263616_c0_seq2.p1
OG0017040,Ssid_DN112147_c0_seq2.p1
OG0017041,
OG0017042,Ssid_DN248157_c0_seq1.p1
OG0017043,"Ssid_DN196229_c0_seq2.p1, Ssid_DN62078_c0_seq1.p1"
OG0017044,Ssid_DN262800_c0_seq2.p1
OG0017045,Ssid_DN255924_c0_seq1.p2
OG0017046,Ssid_DN244465_c0_seq1.p1
OG0017047,
OG0017048,Ssid_DN225461_c0_seq1.p1
OG0017049,Ssid_DN239011_c0_seq9.p1
OG0017050,Ssid_DN263318_c0_seq2.p1
OG0017051,Ssid_DN262169_c0_seq1.p1
OG0017052,Ssid_DN261424_c0_seq14.p1
OG0017053,Ssid_DN261739_c0_seq2.p1
OG0017054,Ssid_DN255697_c0_seq2.p1
OG0017055,Ssid_DN261680_c1_seq4.p1
OG0017056,
OG0017057,
OG0017058,Ssid_DN247448_c0_seq5.p1
OG0017059,Ssid_DN250521_c0_seq1.p1
OG0017060,Ssid_DN203169_c0_seq1.p1
OG0017061,Ssid_DN260368_c0_seq2.p1
OG0017062,Ssid_DN263444_c0_seq1.p1
OG0017063,Ssid_DN247052_c0_seq1.p1
OG0017064,Ssid_DN247204_c1_seq1.p1
OG0017065,Ssid_DN260768_c0_seq4.p1
OG0017066,
OG0017067,Ssid_DN321620_c0_seq1.p1
OG0017068,
OG0017069,Ssid_DN252020_c0_seq1.p1
OG0017070,
OG0017071,Ssid_DN249298_c0_seq4.p1
OG0017072,Ssid_DN262939_c1_seq6.p1
OG0017073,
OG0017074,Ssid_DN238935_c0_seq2.p1
OG0017075,Ssid_DN249720_c0_seq1.p1
OG0017076,Ssid_DN175455_c0_seq1.p1
OG0017077,
OG0017078,Ssid_DN254124_c0_seq2.p1
OG0017079,Ssid_DN253914_c0_seq2.p1
OG0017080,Ssid_DN261719_c1_seq1.p1
OG0017081,
OG0017082,
OG0017083,Ssid_DN153144_c0_seq1.p1
OG0017084,
OG0017085,Ssid_DN336858_c0_seq1.p1
OG0017086,Ssid_DN259573_c1_seq1.p1
OG0017087,Ssid_DN234528_c0_seq1.p1
OG0017088,Ssid_DN164058_c0_seq1.p1
OG0017089,Ssid_DN261290_c1_seq1.p1
OG0017090,"Ssid_DN249079_c0_seq1.p1, Ssid_DN249079_c0_seq1.p2"
OG0017091,"Ssid_DN189696_c0_seq1.p1, Ssid_DN260222_c0_seq1.p1"
OG0017092,"Ssid_DN244491_c0_seq2.p1, Ssid_DN244491_c0_seq2.p2"
OG0017093,Ssid_DN255602_c0_seq3.p1
OG0017094,Ssid_DN256794_c0_seq1.p1
OG0017095,
OG0017096,Ssid_DN259846_c0_seq3.p1
OG0017097,
OG0017098,
OG0017099,
OG0017100,Ssid_DN254284_c0_seq2.p1
OG0017101,Ssid_DN239089_c0_seq36.p1
OG0017102,Ssid_DN260532_c0_seq1.p1
OG0017103,Ssid_DN262155_c0_seq20.p1
OG0017104,Ssid_DN252377_c0_seq1.p1
OG0017105,Ssid_DN257907_c0_seq1.p1
OG0017106,Ssid_DN258735_c0_seq1.p1
OG0017107,Ssid_DN251582_c0_seq3.p1
OG0017108,Ssid_DN261398_c1_seq1.p1
OG0017109,Ssid_DN238471_c0_seq1.p1
OG0017110,Ssid_DN252895_c1_seq7.p1
OG0017111,Ssid_DN250211_c0_seq1.p1
OG0017112,Ssid_DN256513_c0_seq4.p1
OG0017113,Ssid_DN249395_c0_seq2.p1
OG0017114,Ssid_DN236183_c0_seq1.p1
OG0017115,Ssid_DN254569_c0_seq2.p1
OG0017116,
OG0017117,Ssid_DN262588_c0_seq1.p1
OG0017118,
OG0017119,Ssid_DN220903_c0_seq1.p1
OG0017120,Ssid_DN251520_c0_seq1.p2
OG0017121,
OG0017122,Ssid_DN254954_c0_seq2.p1
OG0017123,Ssid_DN245822_c0_seq1.p1
OG0017124,
OG0017125,
OG0017126,Ssid_DN259933_c0_seq1.p1
OG0017127,Ssid_DN252032_c0_seq1.p1
OG0017128,Ssid_DN156846_c0_seq1.p1
OG0017129,Ssid_DN255425_c0_seq2.p1
OG0017130,Ssid_DN255667_c0_seq7.p1
OG0017131,"Ssid_DN253041_c0_seq1.p1, Ssid_DN253041_c0_seq1.p2"
OG0017132,"Ssid_DN103776_c0_seq3.p1, Ssid_DN249425_c0_seq4.p1"
OG0017133,Ssid_DN257725_c0_seq1.p1
OG0017134,
OG0017135,Ssid_DN235918_c0_seq1.p1
OG0017136,"Ssid_DN232089_c0_seq2.p1, Ssid_DN232089_c0_seq2.p2"
OG0017137,Ssid_DN262780_c0_seq1.p2
OG0017138,Ssid_DN259365_c2_seq3.p1
OG0017139,Ssid_DN250009_c0_seq1.p1
OG0017140,Ssid_DN192072_c0_seq1.p1
OG0017141,Ssid_DN238111_c0_seq2.p1
OG0017142,Ssid_DN249459_c0_seq2.p1
OG0017143,Ssid_DN252976_c1_seq2.p1
OG0017144,Ssid_DN263462_c0_seq1.p1
OG0017145,
OG0017146,Ssid_DN251323_c0_seq8.p1
OG0017147,Ssid_DN256458_c0_seq4.p2
OG0017148,Ssid_DN262924_c0_seq1.p1
OG0017149,Ssid_DN260109_c0_seq1.p1
OG0017150,Ssid_DN246766_c0_seq1.p1
OG0017151,Ssid_DN262657_c0_seq1.p1
OG0017152,
OG0017153,Ssid_DN254844_c0_seq2.p1
OG0017154,Ssid_DN258700_c0_seq1.p1
OG0017155,Ssid_DN252806_c0_seq1.p1
OG0017156,Ssid_DN256146_c0_seq1.p1
OG0017157,Ssid_DN241648_c0_seq3.p1
OG0017158,
OG0017159,Ssid_DN261067_c1_seq4.p2
OG0017160,Ssid_DN256585_c0_seq2.p1
OG0017161,"Ssid_DN251871_c0_seq39.p1, Ssid_DN251871_c0_seq39.p2"
OG0017162,Ssid_DN255323_c0_seq1.p1
OG0017163,
OG0017164,Ssid_DN246904_c0_seq1.p1
OG0017165,
OG0017166,"Ssid_DN240538_c0_seq11.p1, Ssid_DN240538_c0_seq11.p3"
OG0017167,Ssid_DN246618_c0_seq11.p1
OG0017168,Ssid_DN217977_c0_seq5.p1
OG0017169,Ssid_DN262770_c0_seq2.p1
OG0017170,
OG0017171,Ssid_DN261789_c0_seq1.p1
OG0017172,
OG0017173,
OG0017174,Ssid_DN244735_c0_seq1.p1
OG0017175,Ssid_DN223418_c0_seq1.p1
OG0017176,Ssid_DN262222_c1_seq3.p2
OG0017177,Ssid_DN257558_c0_seq5.p2
OG0017178,
OG0017179,
OG0017180,Ssid_DN261017_c0_seq2.p1
OG0017181,"Ssid_DN256328_c0_seq2.p2, Ssid_DN369802_c0_seq1.p1"
OG0017182,
OG0017183,
OG0017184,"Ssid_DN249585_c0_seq1.p1, Ssid_DN263597_c0_seq2.p2"
OG0017185,Ssid_DN258427_c0_seq1.p1
OG0017186,
OG0017187,Ssid_DN261240_c0_seq1.p1
OG0017188,Ssid_DN260140_c0_seq2.p1
OG0017189,
OG0017190,
OG0017191,Ssid_DN256203_c0_seq2.p1
OG0017192,
OG0017193,Ssid_DN258330_c0_seq5.p1
OG0017194,Ssid_DN259721_c1_seq4.p1
OG0017195,Ssid_DN247518_c0_seq1.p1
OG0017196,Ssid_DN248019_c0_seq2.p1
OG0017197,
OG0017198,Ssid_DN253803_c3_seq3.p1
OG0017199,Ssid_DN249168_c0_seq1.p1
OG0017200,
OG0017201,Ssid_DN260107_c0_seq2.p1
OG0017202,Ssid_DN254012_c0_seq1.p1
OG0017203,Ssid_DN262262_c0_seq2.p1
OG0017204,Ssid_DN263654_c1_seq1.p3
OG0017205,
OG0017206,
OG0017207,Ssid_DN246185_c0_seq1.p1
OG0017208,Ssid_DN255991_c1_seq1.p1
OG0017209,"Ssid_DN253234_c0_seq2.p1, Ssid_DN255026_c0_seq2.p1"
OG0017210,Ssid_DN241420_c0_seq2.p1
OG0017211,Ssid_DN254354_c0_seq1.p1
OG0017212,Ssid_DN24053_c0_seq1.p1
OG0017213,Ssid_DN253067_c0_seq1.p1
OG0017214,Ssid_DN253167_c0_seq1.p1
OG0017215,Ssid_DN224673_c0_seq1.p1
OG0017216,Ssid_DN241000_c0_seq2.p2
OG0017217,Ssid_DN258482_c0_seq4.p1
OG0017218,Ssid_DN259166_c1_seq3.p1
OG0017219,Ssid_DN249101_c0_seq1.p1
OG0017220,Ssid_DN168670_c0_seq1.p1
OG0017221,Ssid_DN237651_c0_seq1.p1
OG0017222,
OG0017223,"Ssid_DN246799_c0_seq2.p1, Ssid_DN248159_c0_seq1.p1"
OG0017224,Ssid_DN254582_c0_seq7.p2
OG0017225,Ssid_DN260095_c0_seq1.p1
OG0017226,Ssid_DN247851_c0_seq1.p1
OG0017227,
OG0017228,
OG0017229,Ssid_DN242336_c0_seq3.p1
OG0017230,Ssid_DN248352_c0_seq2.p1
OG0017231,Ssid_DN254349_c0_seq1.p1
OG0017232,
OG0017233,Ssid_DN263513_c0_seq1.p1
OG0017234,Ssid_DN253994_c0_seq1.p1
OG0017235,Ssid_DN237827_c0_seq1.p1
OG0017236,Ssid_DN263140_c0_seq1.p1
OG0017237,Ssid_DN240268_c0_seq1.p1
OG0017238,
OG0017239,Ssid_DN261485_c0_seq1.p1
OG0017240,Ssid_DN256956_c0_seq2.p1
OG0017241,Ssid_DN261542_c0_seq3.p3
OG0017242,Ssid_DN258525_c0_seq7.p2
OG0017243,"Ssid_DN255713_c0_seq2.p1, Ssid_DN60723_c0_seq1.p1"
OG0017244,Ssid_DN257416_c0_seq2.p1
OG0017245,"Ssid_DN253203_c0_seq1.p1, Ssid_DN253203_c0_seq1.p2"
OG0017246,Ssid_DN240757_c0_seq1.p1
OG0017247,
OG0017248,Ssid_DN258020_c0_seq1.p1
OG0017249,Ssid_DN263039_c1_seq3.p1
OG0017250,
OG0017251,"Ssid_DN259534_c1_seq1.p1, Ssid_DN260719_c0_seq1.p1"
OG0017252,Ssid_DN263055_c1_seq2.p1
OG0017253,Ssid_DN263824_c0_seq2.p1
OG0017254,Ssid_DN159824_c0_seq1.p1
OG0017255,
OG0017256,
OG0017257,Ssid_DN257827_c0_seq2.p1
OG0017258,Ssid_DN258364_c0_seq1.p1
OG0017259,Ssid_DN252873_c0_seq1.p1
OG0017260,Ssid_DN247421_c3_seq16.p1
OG0017261,
OG0017262,
OG0017263,Ssid_DN254738_c0_seq2.p1
OG0017264,"Ssid_DN251067_c0_seq3.p1, Ssid_DN251067_c0_seq3.p2"
OG0017265,Ssid_DN241751_c0_seq1.p1
OG0017266,Ssid_DN257738_c1_seq1.p1
OG0017267,Ssid_DN224667_c0_seq1.p1
OG0017268,Ssid_DN222927_c0_seq1.p1
OG0017269,Ssid_DN248445_c0_seq2.p1
OG0017270,Ssid_DN247716_c0_seq2.p1
OG0017271,
OG0017272,
OG0017273,Ssid_DN252261_c1_seq1.p1
OG0017274,Ssid_DN262890_c3_seq1.p1
OG0017275,Ssid_DN263654_c1_seq1.p2
OG0017276,Ssid_DN244651_c0_seq1.p1
OG0017277,
OG0017278,Ssid_DN259169_c0_seq1.p1
OG0017279,Ssid_DN262222_c0_seq1.p1
OG0017280,Ssid_DN258003_c0_seq2.p1
OG0017281,"Ssid_DN253461_c0_seq1.p1, Ssid_DN253461_c1_seq1.p1"
OG0017282,Ssid_DN253972_c0_seq9.p2
OG0017283,Ssid_DN255754_c1_seq1.p1
OG0017284,Ssid_DN257124_c0_seq1.p1
OG0017285,Ssid_DN260026_c1_seq1.p1
OG0017286,
OG0017287,Ssid_DN232569_c0_seq1.p1
OG0017288,Ssid_DN263552_c0_seq1.p1
OG0017289,Ssid_DN263376_c1_seq4.p1
OG0017290,Ssid_DN218638_c0_seq1.p1
OG0017291,Ssid_DN175035_c0_seq1.p1
OG0017292,Ssid_DN258333_c0_seq5.p1
OG0017293,
OG0017294,
OG0017295,Ssid_DN260542_c0_seq2.p1
OG0017296,Ssid_DN236575_c0_seq1.p1
OG0017297,Ssid_DN249322_c0_seq3.p2
OG0017298,Ssid_DN252996_c1_seq3.p1
OG0017299,
OG0017300,Ssid_DN255212_c0_seq1.p2
OG0017301,Ssid_DN250111_c0_seq1.p1
OG0017302,
OG0017303,Ssid_DN262576_c0_seq5.p1
OG0017304,Ssid_DN260357_c0_seq2.p1
OG0017305,Ssid_DN257817_c1_seq40.p1
OG0017306,Ssid_DN260973_c0_seq1.p1
OG0017307,Ssid_DN262431_c0_seq16.p1
OG0017308,Ssid_DN259161_c0_seq3.p1
OG0017309,Ssid_DN261214_c1_seq11.p2
OG0017310,
OG0017311,
OG0017312,Ssid_DN260743_c0_seq1.p1
OG0017313,
OG0017314,"Ssid_DN260253_c0_seq1.p1, Ssid_DN260253_c1_seq1.p2"
OG0017315,Ssid_DN256353_c0_seq1.p2
OG0017316,Ssid_DN221440_c0_seq2.p1
OG0017317,Ssid_DN256499_c0_seq5.p1
OG0017318,Ssid_DN260278_c0_seq2.p2
OG0017319,Ssid_DN263016_c0_seq1.p2
OG0017320,Ssid_DN257954_c0_seq1.p1
OG0017321,Ssid_DN146709_c0_seq1.p1
OG0017322,"Ssid_DN247777_c0_seq1.p1, Ssid_DN260371_c0_seq1.p1"
OG0017323,Ssid_DN261771_c3_seq1.p2
OG0017324,
OG0017325,
OG0017326,Ssid_DN260186_c0_seq2.p1
OG0017327,Ssid_DN255489_c0_seq4.p1
OG0017328,
OG0017329,Ssid_DN252989_c0_seq2.p1
OG0017330,
OG0017331,Ssid_DN257720_c0_seq2.p1
OG0017332,Ssid_DN258228_c0_seq1.p1
OG0017333,Ssid_DN247356_c0_seq2.p1
OG0017334,Ssid_DN255261_c0_seq4.p2
OG0017335,Ssid_DN255261_c0_seq4.p1
OG0017336,Ssid_DN253360_c0_seq2.p1
OG0017337,Ssid_DN261050_c0_seq4.p1
OG0017338,Ssid_DN235394_c0_seq2.p1
OG0017339,Ssid_DN247351_c0_seq1.p1
OG0017340,Ssid_DN261659_c0_seq1.p1
OG0017341,"Ssid_DN246339_c0_seq1.p1, Ssid_DN260416_c1_seq6.p1"
OG0017342,
OG0017343,Ssid_DN236514_c0_seq3.p1
OG0017344,Ssid_DN241561_c1_seq3.p1
OG0017345,
OG0017346,Ssid_DN215161_c0_seq1.p1
OG0017347,Ssid_DN258508_c0_seq2.p1
OG0017348,Ssid_DN262708_c0_seq2.p1
OG0017349,Ssid_DN254303_c0_seq2.p1
OG0017350,Ssid_DN255577_c1_seq1.p2
OG0017351,Ssid_DN249289_c0_seq1.p1
OG0017352,Ssid_DN230038_c0_seq1.p1
OG0017353,Ssid_DN238141_c0_seq2.p1
OG0017354,Ssid_DN261051_c1_seq1.p1
OG0017355,Ssid_DN263008_c0_seq2.p1
OG0017356,"Ssid_DN222396_c0_seq1.p1, Ssid_DN349309_c0_seq1.p1"
OG0017357,Ssid_DN221969_c0_seq1.p1
OG0017358,Ssid_DN262951_c1_seq2.p1
OG0017359,
OG0017360,"Ssid_DN224507_c0_seq1.p1, Ssid_DN256978_c0_seq2.p1"
OG0017361,"Ssid_DN230631_c0_seq1.p1, Ssid_DN262029_c0_seq1.p1"
OG0017362,Ssid_DN226030_c1_seq2.p1
OG0017363,Ssid_DN257826_c0_seq2.p1
OG0017364,
OG0017365,Ssid_DN240843_c0_seq2.p1
OG0017366,Ssid_DN231119_c0_seq9.p1
OG0017367,"Ssid_DN247712_c0_seq1.p1, Ssid_DN257574_c0_seq1.p2"
OG0017368,Ssid_DN257554_c0_seq1.p1
OG0017369,Ssid_DN259789_c0_seq1.p1
OG0017370,Ssid_DN249322_c0_seq3.p1
OG0017371,Ssid_DN263190_c1_seq1.p1
OG0017372,Ssid_DN257278_c0_seq2.p1
OG0017373,
OG0017374,
OG0017375,Ssid_DN251338_c0_seq3.p1
OG0017376,
OG0017377,Ssid_DN246999_c0_seq1.p1
OG0017378,
OG0017379,
OG0017380,Ssid_DN258599_c0_seq3.p1
OG0017381,
OG0017382,Ssid_DN260886_c1_seq26.p1
OG0017383,
OG0017384,
OG0017385,Ssid_DN253376_c0_seq2.p1
OG0017386,
OG0017387,Ssid_DN259440_c0_seq2.p2
OG0017388,
OG0017389,"Ssid_DN257290_c0_seq1.p1, Ssid_DN263046_c1_seq2.p1"
OG0017390,
OG0017391,
OG0017392,Ssid_DN262839_c0_seq1.p1
OG0017393,
OG0017394,Ssid_DN252557_c0_seq1.p1
OG0017395,
OG0017396,Ssid_DN263466_c0_seq1.p1
OG0017397,Ssid_DN260149_c0_seq1.p1
OG0017398,Ssid_DN261881_c0_seq1.p1
OG0017399,Ssid_DN255684_c0_seq4.p1
OG0017400,Ssid_DN262212_c1_seq10.p2
OG0017401,
OG0017402,Ssid_DN256255_c0_seq1.p1
OG0017403,Ssid_DN260124_c1_seq1.p1
OG0017404,Ssid_DN258181_c0_seq3.p1
OG0017405,Ssid_DN170287_c0_seq1.p1
OG0017406,
OG0017407,
OG0017408,
OG0017409,
OG0017410,
OG0017411,
OG0017412,
OG0017413,
OG0017414,
OG0017415,
OG0017416,
OG0017417,
OG0017418,
OG0017419,
OG0017420,
OG0017421,
OG0017422,
OG0017423,
OG0017424,
OG0017425,Ssid_DN124450_c0_seq1.p1
OG0017426,
OG0017427,Ssid_DN227201_c1_seq7.p1
OG0017428,
OG0017429,
OG0017430,
OG0017431,
OG0017432,
OG0017433,Ssid_DN162575_c0_seq1.p1
OG0017434,
OG0017435,
OG0017436,
OG0017437,Ssid_DN111143_c0_seq1.p1
OG0017438,
OG0017439,
OG0017440,
OG0017441,Ssid_DN228761_c0_seq5.p1
OG0017442,
OG0017443,
OG0017444,
OG0017445,
OG0017446,
OG0017447,
OG0017448,
OG0017449,Ssid_DN80117_c0_seq1.p1
OG0017450,
OG0017451,
OG0017452,
OG0017453,Ssid_DN159486_c0_seq1.p1
OG0017454,
OG0017455,
OG0017456,
OG0017457,
OG0017458,
OG0017459,Ssid_DN51566_c0_seq1.p1
OG0017460,
OG0017461,
OG0017462,
OG0017463,
OG0017464,
OG0017465,Ssid_DN132002_c0_seq1.p1
OG0017466,
OG0017467,Ssid_DN159402_c0_seq2.p1
OG0017468,
OG0017469,
OG0017470,
OG0017471,Ssid_DN191238_c0_seq2.p1
OG0017472,
OG0017473,
OG0017474,
OG0017475,
OG0017476,
OG0017477,
OG0017478,
OG0017479,
OG0017480,
OG0017481,
OG0017482,
OG0017483,
OG0017484,
OG0017485,
OG0017486,
OG0017487,
OG0017488,
OG0017489,
OG0017490,
OG0017491,
OG0017492,
OG0017493,
OG0017494,Ssid_DN172366_c0_seq2.p1
OG0017495,
OG0017496,Ssid_DN161370_c0_seq1.p1
OG0017497,
OG0017498,
OG0017499,
OG0017500,
OG0017501,Ssid_DN86004_c0_seq1.p1
OG0017502,
OG0017503,
OG0017504,
OG0017505,
OG0017506,
OG0017507,Ssid_DN229744_c0_seq1.p1
OG0017508,
OG0017509,
OG0017510,Ssid_DN34318_c0_seq1.p1
OG0017511,
OG0017512,
OG0017513,
OG0017514,
OG0017515,Ssid_DN51690_c0_seq1.p1
OG0017516,
OG0017517,
OG0017518,
OG0017519,Ssid_DN281082_c0_seq1.p1
OG0017520,Ssid_DN118563_c0_seq1.p1
OG0017521,
OG0017522,
OG0017523,Ssid_DN123082_c0_seq1.p1
OG0017524,Ssid_DN251355_c3_seq14.p1
OG0017525,
OG0017526,
OG0017527,
OG0017528,
OG0017529,
OG0017530,
OG0017531,
OG0017532,
OG0017533,
OG0017534,
OG0017535,
OG0017536,
OG0017537,
OG0017538,
OG0017539,
OG0017540,
OG0017541,
OG0017542,
OG0017543,Ssid_DN112787_c0_seq1.p1
OG0017544,Ssid_DN219793_c0_seq4.p1
OG0017545,
OG0017546,
OG0017547,
OG0017548,
OG0017549,
OG0017550,
OG0017551,
OG0017552,
OG0017553,
OG0017554,
OG0017555,Ssid_DN256974_c0_seq1.p2
OG0017556,
OG0017557,
OG0017558,
OG0017559,
OG0017560,Ssid_DN18982_c0_seq1.p1
OG0017561,
OG0017562,
OG0017563,
OG0017564,
OG0017565,
OG0017566,Ssid_DN203180_c0_seq1.p1
OG0017567,Ssid_DN102930_c0_seq1.p1
OG0017568,
OG0017569,
OG0017570,
OG0017571,
OG0017572,
OG0017573,
OG0017574,
OG0017575,
OG0017576,Ssid_DN203185_c0_seq1.p1
OG0017577,
OG0017578,
OG0017579,
OG0017580,Ssid_DN311811_c0_seq1.p1
OG0017581,Ssid_DN214383_c0_seq2.p1
OG0017582,Ssid_DN183876_c0_seq1.p1
OG0017583,
OG0017584,
OG0017585,
OG0017586,
OG0017587,
OG0017588,
OG0017589,
OG0017590,
OG0017591,
OG0017592,
OG0017593,
OG0017594,
OG0017595,Ssid_DN190308_c0_seq1.p1
OG0017596,
OG0017597,
OG0017598,
OG0017599,
OG0017600,Ssid_DN56954_c0_seq1.p1
OG0017601,
OG0017602,
OG0017603,Ssid_DN286232_c0_seq1.p1
OG0017604,
OG0017605,
OG0017606,
OG0017607,Ssid_DN287736_c0_seq1.p1
OG0017608,Ssid_DN176595_c0_seq1.p1
OG0017609,
OG0017610,
OG0017611,
OG0017612,
OG0017613,
OG0017614,
OG0017615,
OG0017616,Ssid_DN26341_c0_seq1.p1
OG0017617,Ssid_DN233914_c1_seq2.p1
OG0017618,
OG0017619,
OG0017620,
OG0017621,
OG0017622,
OG0017623,
OG0017624,Ssid_DN216673_c0_seq1.p1
OG0017625,
OG0017626,
OG0017627,
OG0017628,Ssid_DN123333_c0_seq1.p1
OG0017629,
OG0017630,
OG0017631,
OG0017632,
OG0017633,
OG0017634,Ssid_DN157783_c0_seq1.p1
OG0017635,Ssid_DN154679_c0_seq1.p1
